epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5737,0.76546,2.5178,1.17803,0.00835,0.98438,0.77597,0.61749,0.65688,3.02452,1.12211,0.0003,0.0003,0.0003
2,143.779,0.6892,1.70176,1.12118,1,0.32744,0.89355,0.67741,0.78019,2.98405,1.20404,0.00055862,0.00055862,0.00055862
3,215.695,0.67154,1.49883,1.0811,1,0.48486,0.6847,0.46845,0.81745,2.70003,1.31916,0.00075388,0.00075388,0.00075388
4,289.61,0.76835,1.46608,1.13221,0.82879,0.84615,0.8337,0.67353,0.7101,2.14924,1.38668,0.00088578,0.00088578,0.00088578
5,363.146,0.70833,1.30076,1.10479,0.97876,0.92308,0.96457,0.72167,0.93933,1.78491,1.43381,0.00095432,0.00095432,0.00095432
6,432.721,0.66381,1.1619,1.08697,0.99522,0.92308,0.97289,0.75456,0.829,1.52483,1.2062,0.0009595,0.0009595,0.0009595
7,499.824,0.66725,1.11025,1.05947,0.6502,0.76923,0.80727,0.59912,0.77866,1.84355,1.12006,0.000812,0.000812,0.000812
8,572.559,0.62541,1.03417,1.00826,0.85453,0.92308,0.95004,0.79709,0.73064,1.24719,1.07204,0.000614,0.000614,0.000614
9,642.173,0.56052,0.94278,1.00537,1,0.92061,0.98188,0.80334,0.73732,1.10878,1.14117,0.000416,0.000416,0.000416
10,788.379,0.54315,0.89919,0.97613,0.92824,0.99531,0.99,0.83774,0.68927,1.00792,1.14126,0.000218,0.000218,0.000218
